TransactionID,CustomerID,MerchantID,Amount,TransactionDate,Channel,Country,Status
47,1782,273,3057.66,2023-01-02 22:00:00,Online,India,Failed
48,1189,251,587.75,2023-01-02 23:00:00,POS,India,Fraud
49,1957,276,429.32,2023-01-03 00:00:00,ATM,Germany,Success
50,1686,240,3151.86,2023-01-03 01:00:00,ATM,India,Success
51,1957,252,1844.79,2023-01-03 02:00:00,ATM,India,Success
52,1562,249,4794.08,2023-01-03 03:00:00,ATM,India,Success
53,1875,214,269.77,2023-01-03 04:00:00,Online,India,Success
54,1566,206,699.21,2023-01-03 05:00:00,POS,Germany,Success
55,1243,239,10069.47,2023-01-03 06:00:00,ATM,India,Success
56,1831,227,4227.15,2023-01-03 07:00:00,Online,Germany,Success
57,1504,231,6274.92,2023-01-03 08:00:00,Online,India,Success
58,1130,298,9274.92,2023-01-03 09:00:00,ATM,Germany,Success
59,1484,214,3166.56,2023-01-03 10:00:00,ATM,USA,Success
60,1818,299,7207.72,2023-01-03 11:00:00,Mobile,USA,Success
61,1646,284,3767.84,2023-01-03 12:00:00,Mobile,India,Success
62,1020,269,1309.96,2023-01-03 13:00:00,Online,USA,Success
63,1840,264,2109.85,2023-01-03 14:00:00,Mobile,UK,Success
64,1166,203,3420.16,2023-01-03 15:00:00,Online,India,Success
65,1273,210,1955.46,2023-01-03 16:00:00,ATM,India,Success
66,1387,225,2093.81,2023-01-03 17:00:00,Online,Germany,Success
67,1600,260,2107.86,2023-01-03 18:00:00,Online,India,Success
68,1315,236,705.33,2023-01-03 19:00:00,Mobile,Germany,Success
69,1013,222,492.2,2023-01-03 20:00:00,Online,UK,Success
70,1241,292,288.06,2023-01-03 21:00:00,POS,India,Failed
71,1776,284,638.04,2023-01-03 22:00:00,Online,India,Success
72,1345,290,2155.74,2023-01-03 23:00:00,Online,Germany,Success
73,1564,239,4555.43,2023-01-04 00:00:00,Online,USA,Success
74,1897,276,1092.18,2023-01-04 01:00:00,POS,India,Success
75,1339,222,10996.68,2023-01-04 02:00:00,Online,USA,Success
76,1091,215,8311.27,2023-01-04 03:00:00,Online,India,Success
77,1366,293,3725.34,2023-01-04 04:00:00,ATM,Canada,Success
78,1955,260,6490.57,2023-01-04 05:00:00,Online,India,Success
79,1454,267,2331.12,2023-01-04 06:00:00,POS,India,Success
80,1427,279,237.36,2023-01-04 07:00:00,Mobile,India,Success
81,1508,230,11784.4,2023-01-04 08:00:00,Online,India,Success
82,1775,252,733.65,2023-01-04 09:00:00,POS,USA,Success
83,1942,224,14826.54,2023-01-04 10:00:00,ATM,USA,Success
84,1034,243,4291.79,2023-01-04 11:00:00,ATM,UK,Failed
85,1205,211,1873.27,2023-01-04 12:00:00,ATM,USA,Success
86,1080,289,3471.18,2023-01-04 13:00:00,Mobile,India,Success
87,1931,296,3532.06,2023-01-04 14:00:00,Online,USA,Success
88,1561,291,167.81,2023-01-04 15:00:00,Mobile,Germany,Success
89,1871,208,2246.09,2023-01-04 16:00:00,Mobile,India,Success
90,1387,211,6782.79,2023-01-04 17:00:00,ATM,India,Success
91,1001,268,3617.46,2023-01-04 18:00:00,POS,USA,Success
92,1389,253,1450.09,2023-01-04 19:00:00,ATM,India,Success
93,1565,253,2090.67,2023-01-04 20:00:00,Online,India,Success
94,1105,227,9990.86,2023-01-04 21:00:00,ATM,UK,Success
95,1771,255,3777.99,2023-01-04 22:00:00,Online,Canada,Success
96,1821,298,3807.61,2023-01-04 23:00:00,ATM,USA,Success
97,1476,268,16331.26,2023-01-05 00:00:00,POS,UK,Success
98,1702,297,1984.8,2023-01-05 01:00:00,Online,India,Success
99,1401,297,3315.22,2023-01-05 02:00:00,ATM,USA,Success
100,1729,276,8398.96,2023-01-05 03:00:00,POS,USA,Success
101,1555,257,7162.97,2023-01-05 04:00:00,POS,India,Success
102,1161,277,1594.87,2023-01-05 05:00:00,Online,India,Success
103,1201,274,869.02,2023-01-05 06:00:00,ATM,UK,Success
104,1957,241,6081.62,2023-01-05 07:00:00,POS,Canada,Success
105,1995,237,1539.71,2023-01-05 08:00:00,POS,USA,Success
106,1269,267,12848.74,2023-01-05 09:00:00,POS,India,Success
107,1862,252,741.99,2023-01-05 10:00:00,ATM,India,Success
108,1815,232,1965.94,2023-01-05 11:00:00,POS,India,Success
109,1270,270,331.73,2023-01-05 12:00:00,Online,India,Success
110,1455,255,6125.26,2023-01-05 13:00:00,Online,Canada,Fraud
111,1461,271,11144.1,2023-01-05 14:00:00,POS,UK,Success
112,1726,250,5101.28,2023-01-05 15:00:00,Mobile,USA,Success
113,1251,273,13933.23,2023-01-05 16:00:00,ATM,Canada,Success
114,1701,242,737.72,2023-01-05 17:00:00,Online,India,Success
115,1295,214,509.12,2023-01-05 18:00:00,Online,UK,Success
116,1724,237,9163.55,2023-01-05 19:00:00,POS,India,Success
117,1719,214,9722.77,2023-01-05 20:00:00,ATM,India,Success
118,1748,204,8940.45,2023-01-05 21:00:00,Online,India,Success
119,1337,292,8071.38,2023-01-05 22:00:00,ATM,Germany,Success
120,1878,282,2298.87,2023-01-05 23:00:00,Online,India,Chargeback
121,1052,253,1276.06,2023-01-06 00:00:00,Online,India,Success
122,1791,250,13261.59,2023-01-06 01:00:00,Online,USA,Fraud
123,1921,209,1883.63,2023-01-06 02:00:00,ATM,India,Chargeback
124,1216,211,2590.88,2023-01-06 03:00:00,Mobile,India,Success
125,1763,203,6062.52,2023-01-06 04:00:00,Online,UK,Failed
126,1187,294,1786.14,2023-01-06 05:00:00,POS,India,Success
127,1379,217,8599.89,2023-01-06 06:00:00,Online,Germany,Success
128,1492,279,413.04,2023-01-06 07:00:00,ATM,USA,Chargeback
129,1040,235,7881.48,2023-01-06 08:00:00,POS,India,Success
130,1156,224,4654.65,2023-01-06 09:00:00,Online,India,Success
131,1014,286,4304.78,2023-01-06 10:00:00,Online,USA,Success
132,1812,275,3115.93,2023-01-06 11:00:00,ATM,India,Success
133,1064,297,1672.05,2023-01-06 12:00:00,POS,USA,Success
134,1856,235,3168.76,2023-01-06 13:00:00,Online,UK,Success
135,1838,266,3039.44,2023-01-06 14:00:00,POS,UK,Success
136,1520,208,4432.4,2023-01-06 15:00:00,ATM,USA,Success
137,1343,260,1703.46,2023-01-06 16:00:00,POS,Canada,Success
138,1128,252,453.86,2023-01-06 17:00:00,POS,India,Chargeback
139,1647,217,833.79,2023-01-06 18:00:00,POS,India,Success
140,1471,242,6056.17,2023-01-06 19:00:00,POS,UK,Success
141,1062,234,163.75,2023-01-06 20:00:00,POS,India,Success
142,1138,262,9755.12,2023-01-06 21:00:00,Mobile,USA,Success
143,1498,297,5977.35,2023-01-06 22:00:00,Online,UK,Success
144,1592,277,7356.95,2023-01-06 23:00:00,POS,India,Success
145,1391,203,9088.97,2023-01-07 00:00:00,Online,India,Fraud
146,1674,292,704.59,2023-01-07 01:00:00,Online,USA,Chargeback
147,1418,240,8692.55,2023-01-07 02:00:00,POS,Canada,Success
148,1288,244,3562.38,2023-01-07 03:00:00,Mobile,India,Success
149,1378,249,10886.94,2023-01-07 04:00:00,Online,USA,Success
150,1772,278,10933.58,2023-01-07 05:00:00,Mobile,India,Failed
151,1489,227,172.38,2023-01-07 06:00:00,Online,India,Success
152,1230,241,2463.34,2023-01-07 07:00:00,Online,India,Success
153,1040,279,3786.95,2023-01-07 08:00:00,Online,India,Success
154,1027,275,5721.61,2023-01-07 09:00:00,POS,UK,Fraud
155,1134,268,1735.67,2023-01-07 10:00:00,POS,USA,Success
156,1200,297,1502.71,2023-01-07 11:00:00,POS,Germany,Success
157,1839,200,2450.4,2023-01-07 12:00:00,POS,India,Success
158,1779,238,3525.13,2023-01-07 13:00:00,POS,Germany,Success
159,1929,295,15144.62,2023-01-07 14:00:00,POS,USA,Fraud
160,1032,289,7229.7,2023-01-07 15:00:00,Online,India,Success
161,1047,216,2854.64,2023-01-07 16:00:00,ATM,India,Failed
162,1502,290,329.5,2023-01-07 17:00:00,POS,USA,Success
163,1406,287,972.74,2023-01-07 18:00:00,Online,Canada,Success
164,1573,234,3093.34,2023-01-07 19:00:00,Online,UK,Failed
165,1727,245,8455.37,2023-01-07 20:00:00,ATM,USA,Success
166,1804,241,2445.79,2023-01-07 21:00:00,Online,India,Success
167,1098,238,3916.33,2023-01-07 22:00:00,ATM,India,Success
168,1683,289,11169.1,2023-01-07 23:00:00,Online,India,Success
169,1871,248,12305.21,2023-01-08 00:00:00,POS,India,Success
170,1725,261,1265.3,2023-01-08 01:00:00,Online,UK,Success
171,1986,237,272.87,2023-01-08 02:00:00,Mobile,Canada,Success
172,1546,222,1872.17,2023-01-08 03:00:00,Mobile,India,Success
173,1960,221,6000.39,2023-01-08 04:00:00,Mobile,UK,Success
174,1738,203,15141.14,2023-01-08 05:00:00,Online,India,Success
175,1612,248,450.8,2023-01-08 06:00:00,ATM,India,Success
176,1942,258,194.49,2023-01-08 07:00:00,POS,India,Success
177,1461,272,10827.17,2023-01-08 08:00:00,ATM,India,Success
178,1642,267,6944.51,2023-01-08 09:00:00,Online,India,Success
179,1768,270,24349.4,2023-01-08 10:00:00,ATM,India,Success
180,1004,286,2577.47,2023-01-08 11:00:00,Mobile,India,Success
181,1217,201,2739.71,2023-01-08 12:00:00,Online,India,Success
182,1502,248,995.59,2023-01-08 13:00:00,Online,USA,Success
183,1766,287,665.63,2023-01-08 14:00:00,Online,India,Success
184,1397,294,4372.26,2023-01-08 15:00:00,Online,Germany,Success
185,1870,230,2315.02,2023-01-08 16:00:00,POS,Canada,Failed
186,1794,239,468.63,2023-01-08 17:00:00,ATM,Germany,Success
187,1392,247,10951.27,2023-01-08 18:00:00,Online,USA,Success
188,1206,250,1155.46,2023-01-08 19:00:00,POS,USA,Failed
189,1014,242,6953.24,2023-01-08 20:00:00,POS,India,Chargeback
190,1857,297,1708.02,2023-01-08 21:00:00,Online,UK,Success
191,1553,254,8430.69,2023-01-08 22:00:00,POS,India,Success
192,1891,287,680.07,2023-01-08 23:00:00,Online,India,Success
193,1460,248,7104.4,2023-01-09 00:00:00,POS,India,Failed
194,1690,289,566.36,2023-01-09 01:00:00,Online,India,Success
195,1574,279,3011.23,2023-01-09 02:00:00,ATM,India,Success
196,1863,256,6671.38,2023-01-09 03:00:00,Online,Germany,Success
197,1742,276,1001.07,2023-01-09 04:00:00,Mobile,India,Success
198,1240,214,1732.02,2023-01-09 05:00:00,ATM,Canada,Success
199,1563,226,10053.78,2023-01-09 06:00:00,Online,India,Success
200,1095,267,10869.31,2023-01-09 07:00:00,POS,UK,Success
201,1899,279,279.88,2023-01-09 08:00:00,Online,USA,Success
202,1733,263,970.16,2023-01-09 09:00:00,ATM,USA,Success
203,1484,293,674.82,2023-01-09 10:00:00,Online,India,Success
204,1406,229,1040.38,2023-01-09 11:00:00,ATM,USA,Success
205,1230,235,17614.18,2023-01-09 12:00:00,Online,India,Success
206,1748,266,4060.96,2023-01-09 13:00:00,Online,USA,Success
207,1654,285,3206.62,2023-01-09 14:00:00,Online,USA,Success
208,1170,285,20874.06,2023-01-09 15:00:00,Online,India,Success
209,1540,248,4120.43,2023-01-09 16:00:00,POS,India,Success
210,1035,275,5460.52,2023-01-09 17:00:00,Online,India,Success
211,1524,254,2073.11,2023-01-09 18:00:00,ATM,Canada,Success
212,1159,284,2457.26,2023-01-09 19:00:00,ATM,UK,Success
213,1838,255,4562.05,2023-01-09 20:00:00,Online,India,Success
214,1698,267,411.7,2023-01-09 21:00:00,POS,India,Success
215,1242,294,1527.78,2023-01-09 22:00:00,POS,India,Success
216,1085,243,1145.83,2023-01-09 23:00:00,ATM,India,Success
217,1795,230,130.11,2023-01-10 00:00:00,POS,UK,Success
218,1577,257,3899.08,2023-01-10 01:00:00,Online,UK,Success
219,1681,286,4166.88,2023-01-10 02:00:00,Online,UK,Success
220,1556,252,2472.05,2023-01-10 03:00:00,POS,Germany,Success
221,1573,283,1614.85,2023-01-10 04:00:00,Mobile,USA,Success
222,1952,278,5328.62,2023-01-10 05:00:00,ATM,USA,Success
223,1645,222,773.16,2023-01-10 06:00:00,Online,UK,Success
224,1795,227,3705.44,2023-01-10 07:00:00,ATM,USA,Success
225,1027,215,7356.68,2023-01-10 08:00:00,Mobile,Canada,Success
226,1619,236,947.42,2023-01-10 09:00:00,Online,UK,Success
227,1555,220,7047.09,2023-01-10 10:00:00,ATM,India,Success
228,1339,278,7202.16,2023-01-10 11:00:00,POS,Germany,Success
229,1797,216,358.99,2023-01-10 12:00:00,POS,USA,Success
230,1957,236,144.81,2023-01-10 13:00:00,POS,India,Success
231,1330,276,18285.89,2023-01-10 14:00:00,Mobile,UK,Success
232,1639,218,1124.53,2023-01-10 15:00:00,Online,India,Failed
233,1505,229,8683.77,2023-01-10 16:00:00,ATM,Canada,Success
234,1347,244,4175.98,2023-01-10 17:00:00,Online,Germany,Chargeback
235,1472,217,1585.83,2023-01-10 18:00:00,POS,India,Success
236,1230,277,746.14,2023-01-10 19:00:00,Mobile,Canada,Success
237,1189,261,3482.62,2023-01-10 20:00:00,ATM,UK,Success
238,1224,235,2665.8,2023-01-10 21:00:00,Online,USA,Success
239,1384,299,6051.33,2023-01-10 22:00:00,POS,India,Success
240,1376,283,11775.82,2023-01-10 23:00:00,Online,India,Success
241,1282,251,8230.14,2023-01-11 00:00:00,Online,India,Success
242,1957,218,1654.14,2023-01-11 01:00:00,ATM,India,Success
243,1632,243,10607.06,2023-01-11 02:00:00,POS,USA,Success
244,1627,206,9010.54,2023-01-11 03:00:00,POS,Canada,Chargeback
245,1972,243,13284.98,2023-01-11 04:00:00,POS,Germany,Success
246,1744,267,3118.55,2023-01-11 05:00:00,Online,India,Success
247,1258,233,7367.5,2023-01-11 06:00:00,Online,India,Success
248,1358,265,4528.25,2023-01-11 07:00:00,POS,Canada,Success
249,1709,268,1908.96,2023-01-11 08:00:00,Mobile,India,Success
250,1455,254,26002.7,2023-01-11 09:00:00,ATM,Germany,Success
251,1410,209,245.3,2023-01-11 10:00:00,POS,UK,Success
252,1648,295,935.31,2023-01-11 11:00:00,Online,UK,Success
253,1317,241,11203.29,2023-01-11 12:00:00,POS,India,Success
254,1676,240,362.37,2023-01-11 13:00:00,ATM,India,Chargeback
255,1224,276,10943.91,2023-01-11 14:00:00,Online,India,Success
256,1818,268,6330.22,2023-01-11 15:00:00,POS,India,Success
257,1233,209,236.87,2023-01-11 16:00:00,Mobile,UK,Success
258,1683,209,2854.63,2023-01-11 17:00:00,POS,India,Success
259,1663,290,7071.71,2023-01-11 18:00:00,Online,USA,Failed
260,1974,259,4424.55,2023-01-11 19:00:00,POS,Canada,Success
261,1826,250,13784.32,2023-01-11 20:00:00,Online,India,Success
262,1373,220,10161.3,2023-01-11 21:00:00,Online,USA,Success
263,1671,207,2072.19,2023-01-11 22:00:00,Mobile,Canada,Success
264,1607,264,492.12,2023-01-11 23:00:00,Online,India,Success
265,1471,291,14485.02,2023-01-12 00:00:00,Online,India,Success
266,1232,277,3691.66,2023-01-12 01:00:00,POS,USA,Success
267,1691,284,436.55,2023-01-12 02:00:00,ATM,USA,Success
268,1112,229,8529.76,2023-01-12 03:00:00,ATM,USA,Success
269,1829,284,10193.99,2023-01-12 04:00:00,Online,India,Success
270,1496,248,5150.27,2023-01-12 05:00:00,POS,India,Chargeback
271,1441,208,3016.59,2023-01-12 06:00:00,POS,India,Success
272,1563,216,5476.11,2023-01-12 07:00:00,POS,India,Success
273,1267,268,6182.52,2023-01-12 08:00:00,POS,USA,Success
274,1509,257,11226.03,2023-01-12 09:00:00,Online,USA,Success
275,1806,256,15652.13,2023-01-12 10:00:00,Mobile,USA,Success
276,1385,261,3661.04,2023-01-12 11:00:00,POS,India,Failed
277,1386,294,8059.69,2023-01-12 12:00:00,Online,India,Success
278,1112,251,16742.46,2023-01-12 13:00:00,POS,UK,Success
279,1612,260,869.91,2023-01-12 14:00:00,Online,USA,Success
280,1624,239,142.18,2023-01-12 15:00:00,POS,Canada,Success
281,1951,237,10211.41,2023-01-12 16:00:00,Online,India,Success
282,1080,242,1136.26,2023-01-12 17:00:00,Online,USA,Success
283,1698,262,267.04,2023-01-12 18:00:00,ATM,UK,Success
284,1112,218,922.34,2023-01-12 19:00:00,ATM,Germany,Success
285,1001,299,2473.47,2023-01-12 20:00:00,Online,Germany,Success
286,1641,249,1287.6,2023-01-12 21:00:00,POS,Germany,Success
287,1219,232,1871.04,2023-01-12 22:00:00,POS,Canada,Success
288,1565,212,18553.56,2023-01-12 23:00:00,POS,USA,Failed
289,1854,277,6143.83,2023-01-13 00:00:00,Online,India,Success
290,1996,296,6277.3,2023-01-13 01:00:00,ATM,USA,Success
291,1735,261,547.36,2023-01-13 02:00:00,Online,India,Success
292,1224,292,6635.68,2023-01-13 03:00:00,Mobile,India,Success
293,1384,242,6772.78,2023-01-13 04:00:00,POS,USA,Success
294,1402,248,5440.3,2023-01-13 05:00:00,ATM,UK,Success
295,1637,235,1346.68,2023-01-13 06:00:00,Online,USA,Success
296,1129,209,2799.88,2023-01-13 07:00:00,ATM,India,Success
297,1052,294,9413.0,2023-01-13 08:00:00,Online,USA,Fraud
298,1683,205,5596.37,2023-01-13 09:00:00,ATM,Germany,Success
299,1729,256,6648.21,2023-01-13 10:00:00,Online,UK,Success
300,1671,200,4476.07,2023-01-13 11:00:00,POS,USA,Success
301,1709,270,3035.43,2023-01-13 12:00:00,Online,USA,Success
302,1415,257,7165.87,2023-01-13 13:00:00,Online,Germany,Success
303,1246,290,401.71,2023-01-13 14:00:00,POS,India,Success
304,1835,220,5641.43,2023-01-13 15:00:00,POS,India,Success
305,1438,291,29448.74,2023-01-13 16:00:00,POS,India,Success
306,1202,279,7625.0,2023-01-13 17:00:00,Online,India,Success
307,1183,255,1766.42,2023-01-13 18:00:00,Online,India,Success
308,1122,286,1677.4,2023-01-13 19:00:00,ATM,USA,Success
309,1400,219,5551.35,2023-01-13 20:00:00,ATM,India,Fraud
310,1766,253,11359.82,2023-01-13 21:00:00,Online,India,Success
311,1293,224,4363.15,2023-01-13 22:00:00,POS,India,Success
312,1279,227,3797.55,2023-01-13 23:00:00,ATM,Germany,Success
313,1836,204,924.05,2023-01-14 00:00:00,ATM,USA,Success
314,1883,220,6334.35,2023-01-14 01:00:00,Online,India,Failed
315,1609,217,6108.32,2023-01-14 02:00:00,ATM,India,Success
316,1197,246,17098.88,2023-01-14 03:00:00,Online,India,Success
317,1981,269,1834.75,2023-01-14 04:00:00,ATM,USA,Success
318,1906,256,7112.07,2023-01-14 05:00:00,Online,USA,Success
319,1510,292,2896.38,2023-01-14 06:00:00,POS,Germany,Success
320,1751,218,4137.58,2023-01-14 07:00:00,POS,USA,Success
321,1143,296,8526.45,2023-01-14 08:00:00,POS,Germany,Success
322,1608,264,1305.11,2023-01-14 09:00:00,POS,India,Success
323,1200,202,2149.36,2023-01-14 10:00:00,ATM,Canada,Success
324,1123,241,7470.83,2023-01-14 11:00:00,POS,UK,Success
325,1186,220,4275.18,2023-01-14 12:00:00,Online,India,Success
326,1325,298,534.88,2023-01-14 13:00:00,Online,India,Chargeback
327,1463,239,2862.23,2023-01-14 14:00:00,POS,USA,Success
328,1348,266,4467.1,2023-01-14 15:00:00,ATM,India,Success
329,1770,224,12062.98,2023-01-14 16:00:00,ATM,UK,Success
330,1659,254,1094.28,2023-01-14 17:00:00,Online,UK,Success
331,1763,283,8248.27,2023-01-14 18:00:00,POS,India,Success
332,1954,251,749.9,2023-01-14 19:00:00,Online,India,Success
333,1931,243,1436.91,2023-01-14 20:00:00,Mobile,Germany,Success
334,1402,297,1444.23,2023-01-14 21:00:00,Online,India,Success
335,1345,284,10547.37,2023-01-14 22:00:00,POS,India,Success
336,1962,255,1159.58,2023-01-14 23:00:00,POS,India,Success
337,1510,254,7781.39,2023-01-15 00:00:00,ATM,Germany,Success
338,1146,286,3147.69,2023-01-15 01:00:00,Online,UK,Failed
339,1147,269,35064.55,2023-01-15 02:00:00,Online,India,Success
340,1863,276,9184.6,2023-01-15 03:00:00,POS,India,Failed
341,1710,286,6779.66,2023-01-15 04:00:00,POS,India,Success
342,1819,272,10279.12,2023-01-15 05:00:00,Online,India,Success
343,1488,280,5076.02,2023-01-15 06:00:00,POS,UK,Success
344,1928,265,9328.36,2023-01-15 07:00:00,POS,India,Success
345,1935,218,1563.15,2023-01-15 08:00:00,ATM,USA,Chargeback
346,1639,282,564.06,2023-01-15 09:00:00,Online,USA,Fraud
347,1550,206,4834.68,2023-01-15 10:00:00,Online,India,Success
348,1337,262,2901.91,2023-01-15 11:00:00,ATM,Germany,Success
349,1871,241,2829.47,2023-01-15 12:00:00,ATM,India,Success
350,1640,241,3790.63,2023-01-15 13:00:00,ATM,India,Success
351,1778,258,2292.25,2023-01-15 14:00:00,ATM,Canada,Success
352,1987,219,4968.29,2023-01-15 15:00:00,Online,India,Success
353,1952,272,205.23,2023-01-15 16:00:00,Online,India,Success
354,1472,216,17564.71,2023-01-15 17:00:00,Online,India,Success
355,1945,226,12981.97,2023-01-15 18:00:00,Mobile,India,Success
356,1150,246,13737.67,2023-01-15 19:00:00,POS,Germany,Success
357,1414,201,2320.68,2023-01-15 20:00:00,Online,India,Success
358,1989,262,3845.27,2023-01-15 21:00:00,Online,India,Success
359,1297,261,15459.79,2023-01-15 22:00:00,ATM,Canada,Failed
360,1610,299,11681.63,2023-01-15 23:00:00,ATM,India,Success
361,1262,218,7859.06,2023-01-16 00:00:00,Mobile,Germany,Success
362,1763,216,2665.6,2023-01-16 01:00:00,Online,India,Success
363,1143,268,4204.46,2023-01-16 02:00:00,POS,India,Success
364,1345,238,7923.07,2023-01-16 03:00:00,Online,India,Success
365,1623,281,1644.23,2023-01-16 04:00:00,Online,India,Success
366,1571,270,4973.51,2023-01-16 05:00:00,Online,India,Success
367,1880,280,8849.4,2023-01-16 06:00:00,Online,India,Success
368,1001,238,6195.68,2023-01-16 07:00:00,POS,USA,Success
369,1896,235,3314.64,2023-01-16 08:00:00,Mobile,India,Success
370,1303,239,4442.67,2023-01-16 09:00:00,Online,India,Success
371,1253,244,22453.95,2023-01-16 10:00:00,Mobile,India,Success
372,1651,203,4656.36,2023-01-16 11:00:00,Online,USA,Success
373,1452,224,7749.97,2023-01-16 12:00:00,POS,India,Success
374,1036,268,6534.18,2023-01-16 13:00:00,Online,India,Success
375,1159,229,6094.77,2023-01-16 14:00:00,POS,Canada,Success
376,1008,275,6350.41,2023-01-16 15:00:00,Online,India,Success
377,1232,267,3079.44,2023-01-16 16:00:00,POS,India,Success
378,1098,287,3263.79,2023-01-16 17:00:00,ATM,India,Success
379,1658,228,3204.27,2023-01-16 18:00:00,ATM,India,Success
380,1815,272,219.1,2023-01-16 19:00:00,Online,UK,Success
381,1207,267,1429.2,2023-01-16 20:00:00,ATM,India,Success
382,1130,250,889.51,2023-01-16 21:00:00,POS,India,Success
383,1403,223,10927.34,2023-01-16 22:00:00,Mobile,India,Success
384,1151,213,1657.71,2023-01-16 23:00:00,POS,Germany,Success
385,1053,268,795.07,2023-01-17 00:00:00,Mobile,India,Success
386,1119,217,687.84,2023-01-17 01:00:00,ATM,USA,Success
387,1672,241,6069.69,2023-01-17 02:00:00,ATM,India,Success
388,1919,256,80.51,2023-01-17 03:00:00,Online,USA,Success
389,1627,282,3236.71,2023-01-17 04:00:00,POS,USA,Success
390,1586,211,682.76,2023-01-17 05:00:00,POS,India,Success
391,1624,281,9524.39,2023-01-17 06:00:00,Online,India,Success
392,1967,216,15954.33,2023-01-17 07:00:00,Online,India,Success
393,1419,229,15991.08,2023-01-17 08:00:00,Mobile,India,Success
394,1421,287,2966.66,2023-01-17 09:00:00,POS,India,Success
395,1103,274,5221.36,2023-01-17 10:00:00,Online,India,Success
396,1851,298,4627.76,2023-01-17 11:00:00,POS,India,Success
397,1253,222,2204.21,2023-01-17 12:00:00,Online,India,Success
398,1226,280,2985.51,2023-01-17 13:00:00,POS,USA,Success
399,1111,200,382.43,2023-01-17 14:00:00,POS,India,Fraud
400,1509,278,7990.81,2023-01-17 15:00:00,Online,India,Fraud
401,1472,231,1427.47,2023-01-17 16:00:00,ATM,USA,Fraud
402,1098,208,3135.82,2023-01-17 17:00:00,Online,USA,Success
403,1152,214,3325.6,2023-01-17 18:00:00,ATM,Germany,Success
404,1860,227,4163.0,2023-01-17 19:00:00,Mobile,Canada,Success
405,1913,223,8565.36,2023-01-17 20:00:00,Online,UK,Success
406,1895,259,5936.35,2023-01-17 21:00:00,ATM,India,Success
407,1877,234,5489.3,2023-01-17 22:00:00,POS,USA,Success
